provincia,pct_pbg_aporte,pct_coparticipacion_recibe,diferencia_pp
Formosa,0.0052170723683484495,0.02066148,1.544440763165155
Chaco,0.015123659535288766,0.02831388,1.3190220464711233
Catamarca,0.006526205987637165,0.01563276,0.9106554012362834
Corrientes,0.012666715143074088,0.02109876,0.8432044856925913
Tucumán,0.018964349578305815,0.02700204,0.8037690421694187
Santiago del Estero,0.015859595036634505,0.02344914,0.7589544963365495
La Rioja,0.005480691580070972,0.0117519,0.6271208419929026
San Juan,0.013125834924467263,0.01918566,0.6059825075532738
Misiones,0.012790936065982035,0.01874838,0.5957443934017963
Jujuy,0.010342922297797,0.0161247,0.5781777702202999
San Luis,0.009493096287740194,0.01295442,0.34613237122598056
Salta,0.018844868670845352,0.02175468,0.2909811329154646
La Pampa,0.010470878574224084,0.0106587,0.018782142577591573
Entre Ríos,0.027608567917609045,0.02771262,0.010405208239095548
Río Negro,0.014407946932075743,0.01432092,-0.008702693207574344
Tierra del Fuego,0.008296846150239533,0.007,-0.12968461502395326
Santa Cruz,0.01356147035380205,0.00897608,-0.45853903538020485
Mendoza,0.0333270459238112,0.02366778,-0.9659265923811201
Chubut,0.018733109471759858,0.00897608,-0.9757029471759857
Santa Fe,0.08177044613618568,0.05072448,-3.1045966136185683
Neuquén,0.04369969641560903,0.00985064,-3.384905641560903
Córdoba,0.08561905000132894,0.05039652,-3.5222530001328938
CABA,0.19898366077408136,0.014,-18.498366077408136
Buenos Aires,0.3184817431589742,0.12463838,-19.38433631589742
