provincia,anio,monto_nominal,ipc_promedio_anual,monto_real_base2016
Buenos Aires,2003,2787.1198,8.396631393694841,33193.30895116929
Buenos Aires,2004,4317.3949,8.767402951109663,49243.71474740488
Buenos Aires,2005,5400.0342,9.612726384123917,56175.88584356807
Buenos Aires,2006,6474.5877,10.660302377959722,60735.49764766779
Buenos Aires,2007,8503.3083,12.18514230002,69784.23469035764
Buenos Aires,2008,10273.2629,14.979653147032298,68581.4471080413
Buenos Aires,2009,10421.852,17.456561530567843,59701.6312848925
Buenos Aires,2010,13594.2681,21.376348487281444,63594.90306816598
Buenos Aires,2011,22560.748,26.570964534575943,84907.52366419527
Buenos Aires,2012,22948.8338,32.79133180641779,69984.45179194749
Buenos Aires,2013,30301.6645,40.85103331144704,74176.00497148023
Buenos Aires,2014,42020.29788,56.976538710053426,73750.176531144
Buenos Aires,2015,48131.9741,73.66153516686742,65342.0730249042
Buenos Aires,2016,63573.1919,100.0,63573.1919
Buenos Aires,2017,91194.2099,112.88710833333333,80783.54671883481
Buenos Aires,2018,159762.1114,151.581675,105396.71856772926
Buenos Aires,2019,278598.6884,232.75109166666667,119698.12317743873
Buenos Aires,2020,377235.68866000004,330.5416833333333,114126.51041641194
Buenos Aires,2021,608809.79829,490.55485833333336,124106.36403815045
Buenos Aires,2022,1161021.5583,845.8674583333333,137258.09485420267
Buenos Aires,2023,2506180.8118000003,1975.006925,126894.7860423325
Buenos Aires,2024,7539515.5994,6317.741325,119338.78282678819
Buenos Aires,2025,10239896.924,8966.166533333333,114205.96400849066
CABA,2003,311.5191,8.396631393694841,3710.0485348674997
CABA,2004,516.97,8.767402951109663,5896.500969361386
CABA,2005,638.5745,9.612726384123917,6643.01130067168
CABA,2006,743.6139,10.660302377959722,6975.542284217275
CABA,2007,951.589,12.18514230002,7809.4204939932315
CABA,2008,1119.2312,14.979653147032298,7471.676339994141
CABA,2009,1078.3163,17.456561530567843,6177.140315472674
CABA,2010,1376.0722,21.376348487281444,6437.358563922829
CABA,2011,2565.5692,26.570964534575943,9655.536578890491
CABA,2012,2300.5594,32.79133180641779,7015.754692676874
CABA,2013,3046.7674,40.85103331144704,7458.2382696945215
CABA,2014,4291.89509,56.976538710053426,7532.7409968529755
CABA,2015,4292.2839,73.66153516686742,5827.035630300911
CABA,2016,23133.2724,100.0,23133.2724
CABA,2017,32243.3138,112.88710833333333,28562.441075903782
CABA,2018,50254.9521,151.581675,33153.71208294143
CABA,2019,73881.0554,232.75109166666667,31742.51724061015
CABA,2020,85158.9833,330.5416833333333,25763.46270195575
CABA,2021,53545.9429,490.55485833333336,10915.383262520945
