anio,coparticipacion_nominal_pesos,ingresos_totales_pesos,ratio_coparticipacion_ingresos
2015,23673039600.0,65784607146.0,0.3598568210259416
2016,35701379600.0,92015332106.45,0.3879938134516328
2017,47944221500.0,122164097929.55,0.39245754122990073
2018,78784378009.0,164096321508.56,0.4801105672858746
2019,112061894457.0,227060829083.40002,0.4935324816234128
2020,147450508703.0,306271985195.64,0.4814364872739234
2021,242371147170.0,503143900713.6399,0.48171337628505506
2022,463607280609.0,898280022032.5198,0.5161055230416962
2023,1014210323570.0,1965302032665.5198,0.5160582478991469
2024,3069566481470.0,5945371112252.42,0.516295185534194
2025,4151853424590.0,8936027170277.15,0.46461960617127696
