ano;provincia;impuesto;regimen;monto
2003;buenos aires;coparticipacion federal de impuestos ley 23548;coparticipacion federal de impuestos ley 23548;2787,1198
2003;buenos aires;transferencia de servicios ley 24049;transferencia de servicios ley 24049;443,76
2003;buenos aires;impuesto a las ganancias;obras de infraestructura basica social;650
2003;buenos aires;impuesto a las ganancias;ley 24699;97,0981
2003;buenos aires;impuesto sobre los bienes personales;ley 24699;186,029
2003;buenos aires;impuesto sobre los bienes personales;ley 23966 art 30;44,2881
2003;buenos aires;impuesto sobre los activos fondo educacion ley 23906;impuesto sobre los activos fondo educacion ley 23906;0,5012
2003;buenos aires;i.v.a.ley 23966 art 5 punto 2;i.v.a.ley 23966 art 5 punto 2;58,6912
2003;buenos aires;impuesto a los combustibles liquidos ley 23966 y 24699;vialidad provincial;55,7403
2003;buenos aires;impuesto a los combustibles liquidos ley 23966 y 24699;f.e.d.e.i.;0,759
2003;buenos aires;impuesto a los combustibles liquidos ley 23966 y 24699;ley 24464 fo.na.vi;79,4812
2003;buenos aires;regimen de energia electrica ley 24065;fondo para compensaciones de tarifa electrica;4,2717
2003;buenos aires;regimen de energia electrica ley 24065;f.e.d.e.i.;1,114
2003;buenos aires;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;18,6763
2003;catamarca;coparticipacion federal de impuestos ley 23548;coparticipacion federal de impuestos ley 23548;349,5743
2003;catamarca;transferencia de servicios ley 24049;transferencia de servicios ley 24049;21,4
2003;catamarca;impuesto a las ganancias;obras de infraestructura basica social;10,2384
2003;catamarca;impuesto a las ganancias;excedente obras de caracter social a buenos aires;26,2658
2003;catamarca;impuesto a las ganancias;ley 24699;12,1784
2003;catamarca;impuesto sobre los bienes personales;ley 24699;23,3327
2003;catamarca;impuesto sobre los activos fondo educacion ley 23906;impuesto sobre los activos fondo educacion ley 23906;0,0375
2003;catamarca;impuesto a los combustibles liquidos ley 23966 y 24699;obras de infraestructura;3,0262
2003;catamarca;impuesto a los combustibles liquidos ley 23966 y 24699;vialidad provincial;5,1926
2003;catamarca;impuesto a los combustibles liquidos ley 23966 y 24699;f.e.d.e.i.;2,9221
2003;catamarca;impuesto a los combustibles liquidos ley 23966 y 24699;ley 24464 fo.na.vi;11,5111
2003;catamarca;regimen de energia electrica ley 24065;fondo para compensaciones de tarifa electrica;6,0562
2003;catamarca;regimen de energia electrica ley 24065;f.e.d.e.i.;4,018
2003;catamarca;fondo compensador de desequilibrios;fondo compensador de desequilibrios;26,4759
2003;catamarca;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;2,3425
2003;cordoba;coparticipacion federal de impuestos ley 23548;coparticipacion federal de impuestos ley 23548;1126,9493
2003;cordoba;transferencia de servicios ley 24049;transferencia de servicios ley 24049;125,3
2003;cordoba;impuesto a las ganancias;obras de infraestructura basica social;57,2637
2003;cordoba;impuesto a las ganancias;excedente obras de caracter social a buenos aires;84,6737
2003;cordoba;impuesto a las ganancias;ley 24699;39,2602
2003;cordoba;impuesto sobre los bienes personales;ley 24699;75,2193
2003;cordoba;impuesto sobre los bienes personales;ley 23966 art 30;15,1246
2003;cordoba;impuesto sobre los activos fondo educacion ley 23906;impuesto sobre los activos fondo educacion ley 23906;0,1387
2003;cordoba;i.v.a.ley 23966 art 5 punto 2;i.v.a.ley 23966 art 5 punto 2;20,0433
2003;cordoba;impuesto a los combustibles liquidos ley 23966 y 24699;obras de infraestructura;9,7556
2003;cordoba;impuesto a los combustibles liquidos ley 23966 y 24699;vialidad provincial;15,7707
2003;cordoba;impuesto a los combustibles liquidos ley 23966 y 24699;f.e.d.e.i.;1,9548
2003;cordoba;impuesto a los combustibles liquidos ley 23966 y 24699;ley 24464 fo.na.vi;30,9703
2003;cordoba;regimen de energia electrica ley 24065;fondo para compensaciones de tarifa electrica;4,2577
2003;cordoba;regimen de energia electrica ley 24065;f.e.d.e.i.;2,7565
2003;cordoba;fondo compensador de desequilibrios;fondo compensador de desequilibrios;6,0173
2003;cordoba;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;7,5517
2003;corrientes;coparticipacion federal de impuestos ley 23548;coparticipacion federal de impuestos ley 23548;471,8031
2003;corrientes;transferencia de servicios ley 24049;transferencia de servicios ley 24049;38,6
2003;corrientes;impuesto a las ganancias;obras de infraestructura basica social;34,3582
2003;corrientes;impuesto a las ganancias;excedente obras de caracter social a buenos aires;35,4498
2003;corrientes;impuesto a las ganancias;ley 24699;16,4365
2003;corrientes;impuesto sobre los bienes personales;ley 24699;31,491
2003;corrientes;impuesto sobre los bienes personales;ley 23966 art 30;4,8361
2003;corrientes;impuesto sobre los activos fondo educacion ley 23906;impuesto sobre los activos fondo educacion ley 23906;0,0622
2003;corrientes;i.v.a.ley 23966 art 5 punto 2;i.v.a.ley 23966 art 5 punto 2;6,4089
2003;corrientes;impuesto a los combustibles liquidos ley 23966 y 24699;obras de infraestructura;4,0842
2003;corrientes;impuesto a los combustibles liquidos ley 23966 y 24699;vialidad provincial;5,9421
2003;corrientes;impuesto a los combustibles liquidos ley 23966 y 24699;f.e.d.e.i.;2,4707
2003;corrientes;impuesto a los combustibles liquidos ley 23966 y 24699;ley 24464 fo.na.vi;27,1332
2003;corrientes;regimen de energia electrica ley 24065;fondo para compensaciones de tarifa electrica;5,0851
2003;corrientes;regimen de energia electrica ley 24065;f.e.d.e.i.;3,1043
2003;corrientes;fondo compensador de desequilibrios;fondo compensador de desequilibrios;18,0518
2003;corrientes;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;regimen simplificado para pequeños contribuyentes ley 24977 art 59 inciso a;3,1615
2003;chaco;coparticipacion federal de impuestos ley 23548;coparticipacion federal de impuestos ley 23548;633,1451
2003;chaco;transferencia de servicios ley 24049;transferencia de servicios ley 24049;33,6
2003;chaco;impuesto a las ganancias;obras de infraestructura basica social;45,5729
2003;chaco;impuesto a las ganancias;excedente obras de caracter social a buenos aires;47,5719
2003;chaco;impuesto a las ganancias;ley 24699;22,0571
2003;chaco;impuesto sobre los bienes personales;ley 24699;42,2599
2003;chaco;impuesto sobre los bienes personales;ley 23966 art 30;3,802
2003;chaco;impuesto sobre los activos fondo educacion ley 23906;impuesto sobre los activos fondo educacion ley 23906;0,0813
2003;chaco;i.v.a.ley 23966 art 5 punto 2;i.v.a.ley 23966 art 5 punto 2;5,0385
2003;chaco;impuesto a los combustibles liquidos ley 23966 y 24699;obras de infraestructura;5,481
2003;chaco;impuesto a los combustibles liquidos ley 23966 y 24699;vialidad provincial;7,5125
2003;chaco;impuesto a los combustibles liquidos ley 23966 y 24699;f.e.d.e.i.;2,6302
2003;chaco;impuesto a los combustibles liquidos ley 23966 y 24699;ley 24464 fo.na.vi;25,2147
2003;chaco;regimen de energia electrica ley 24065;fondo para compensaciones de tarifa electrica;6,0884
2003;chaco;regimen de energia electrica ley 24065;f.e.d.e.i.;3,7064
2003;chaco;fondo compensador de desequilibrios;fondo compensador de desequilibrios;6,0173
